NOCCourseId,Duration,Duration (int)
noc22-ee29,4 Weeks,4 
noc22-ee30,8 Weeks,8 
noc22-ee36,4 Weeks,4 
noc22-ee39,8 Weeks,8 
noc22-ee46,8 Weeks,8 
noc22-ee49,8 Weeks,8 
noc22-ee52,8 Weeks,8 
noc22-ee65,8 Weeks,8 
noc22-hs03,8 Weeks,8 
noc22-hs04,4 Weeks,4 
noc22-hs05,4 Weeks,4 
noc22-hs07,8 Weeks,8 
noc22-hs10,4 Weeks,4 
noc22-hs11,8 Weeks,8 
noc22-hs13,8 Weeks,8 
noc22-hs16,8 Weeks,8 
noc22-hs17,4 Weeks,4 
noc22-hs20,8 Weeks,8 
noc22-hs22,8 Weeks,8 
noc22-hs25,8 Weeks,8 
noc22-hs28,8 Weeks,8 
noc22-hs33,8 Weeks,8 
noc22-hs44,8 Weeks,8 
noc22-hs45,8 Weeks,8 
noc22-hs50,4 Weeks,4 
noc22-hs60,8 Weeks,8 
noc22-hs64,8 Weeks,8 
noc22-hs69,8 Weeks,8 
noc22-mg36,4 Weeks,4 
noc22-mg04,4 Weeks,4 
noc22-mg06,8 Weeks,8 
noc22-mg14,8 Weeks,8 
noc22-mg18,8 Weeks,8 
noc22-mg19,8 Weeks,8 
noc22-mg20,8 Weeks,8 
noc22-mg29,8 Weeks,8 
noc22-mg31,4 Weeks,4 
noc22-mg41,8 Weeks,8 
noc22-mg43,8 Weeks,8 
noc22-mg44,4 Weeks,4 
noc22-mg47,8 Weeks,8 
noc22-mg51,8 Weeks,8 
noc22-mg52,8 Weeks,8 
noc22-mg56,4 Weeks,4 
noc22-ma07,8 Weeks,8 
noc22-ma10,8 Weeks,8 
noc22-ma11,8 Weeks,8 
noc22-ma12,8 Weeks,8 
noc22-ma16,8 Weeks,8 
noc22-ma21,4 Weeks,4 
noc22-ma28,8 Weeks,8 
noc22-ma29,8 Weeks,8 
noc22-ma26,8 Weeks,8 
noc22-me01,8 Weeks,8 
noc22-me05,8 Weeks,8 
noc22-me08,8 Weeks,8 
noc22-me12,8 Weeks,8 
noc22-me13,8 Weeks,8 
noc22-me18,8 Weeks,8 
noc22-me19,8 Weeks,8 
noc22-me20,8 Weeks,8 
noc22-me21,8 Weeks,8 
noc22-me22,8 Weeks,8 
noc22-me24,4 Weeks,4 
noc22-me25,8 Weeks,8 
noc22-me33,8 Weeks,8 
noc22-me38,8 Weeks,8 
noc22-me42,8 Weeks,8 
noc22-me45,8 Weeks,8 
noc22-me47,8 Weeks,8 
noc22-me50,4 Weeks,4 
noc22-me54,8 Weeks,8 
noc22-me57,8 Weeks,8 
noc22-me58,8 Weeks,8 
noc22-me61,8 Weeks,8 
noc22-me64,4 Weeks,4 
noc22-me69,8 Weeks,8 
noc22-mm05,8 Weeks,8 
noc22-mm08,8 Weeks,8 
noc22-mm11,8 Weeks,8 
noc22-mm13,8 Weeks,8 
noc22-mm16,4 Weeks,4 
noc22-mm17,8 Weeks,8 
noc22-mm21,8 Weeks,8 
noc22-ge02,4 Weeks,4 
noc22-ge05,4 Weeks,4 
noc22-ge16,8 Weeks,8 
noc22-ge07,4 weeks,4 
noc22-ph01,4 Weeks,4 
noc22-ph08,4 Weeks,4 
noc22-ph09,8 Weeks,8 
noc22-te04,8 Weeks,8 
noc22-ce07,12 Weeks,12
noc22-cs22,12 Weeks,12
noc22-mm02,8 Weeks,8 
noc22-cs03,12 Weeks,12
noc22-ee03,12 Weeks,12
noc22-hs43,12 Weeks,12
noc22-ma04,8 Weeks,8 
noc22-ee47,12 Weeks,12
noc22-hs39,8 Weeks,8 
noc22-ma20,4 Weeks,4 
noc22-me04,12 Weeks,12
noc22-ph10,12 Weeks,12
noc22-ch37,12 Weeks,12
noc22-me40,12 Weeks,12
noc22-mg02,12 Weeks,12
noc22-mm04,12 Weeks,12
noc22-ce39,8 Weeks,8 
noc22-ae03,12 Weeks,12
noc22-cs30,12 Weeks,12
noc22-ee02,12 Weeks,12
noc22-ee67,12 Weeks,12
noc22-hs54,12 Weeks,12
noc22-me35,12 Weeks,12
noc22-ge15,8 Weeks,8 
noc22-ae08,12 Weeks,12
noc22-ae09,12 Weeks,12
noc22-ag02,12 Weeks,12
noc22-ag03,12 Weeks,12
noc22-ag05,12 Weeks,12
noc22-bt29,8 Weeks,8 
noc22-ch35,12 Weeks,12
noc22-cy06,12 Weeks,12
noc22-cy13,12 Weeks,12
noc22-cy20,12 Weeks,12
noc22-ce01,12 Weeks,12
noc22-ce06,12 Weeks,12
noc22-ce20,12 Weeks,12
noc22-ce29,12 Weeks,12
noc22-ce32,12 Weeks,12
noc22-ce34,12 Weeks,12
noc22-ce36,12 Weeks,12
noc22-ce37,12 Weeks,12
noc22-ce41,12 Weeks,12
noc22-cs01,4 Weeks,4 
noc22-cs09,12 Weeks,12
noc22-cs11,8 Weeks,8 
noc22-cs13,12 Weeks,12
noc22-cs14,12 Weeks,12
noc22-cs19,12 Weeks,12
noc22-cs20,8 Weeks + 4 Weeks(New),12
noc22-cs43,12 Weeks,12
noc22-cs44,12 Weeks,12
noc22-cs45,12 Weeks,12
noc22-cs46,12 Weeks,12
noc22-cs47,12 Weeks,12
noc22-cs48,12 Weeks,12
noc22-cs49,12 Weeks,12
noc22-cs50,12 Weeks,12
noc22-cs52,12 Weeks,12
noc22-cs53,12 Weeks,12
noc22-cs55,12 Weeks,12
noc22-ee06,12 Weeks,12
noc22-ee07,12 Weeks,12
noc22-ee11,12 Weeks,12
noc22-ee12,12 Weeks,12
noc22-ee17,12 Weeks,12
noc22-ee18,12 Weeks,12
